run,completion,targets,survival,fragmentation,duration,reward
0,1.0,1.0,1.0,0.0,56.0,3.410757064819336
1,1.0,1.0,1.0,0.0,58.0,3.0416884422302246
2,1.0,1.0,1.0,0.0,44.0,4.490464687347412
3,1.0,1.0,1.0,0.0,37.0,5.722595691680908
4,1.0,1.0,1.0,0.0,55.0,3.4159462451934814
5,1.0,1.0,1.0,0.0,52.0,3.7863550186157227
6,1.0,1.0,1.0,0.0,47.0,4.311110496520996
7,0.0,0.5,0.0,0.0,37.0,-8.392448425292969
8,1.0,1.0,1.0,0.0,46.0,4.166402816772461
9,1.0,1.0,1.0,0.0,40.0,4.973526954650879
10,1.0,1.0,1.0,0.0,61.0,2.4327101707458496
11,1.0,1.0,1.0,0.0,63.0,2.591597080230713
12,1.0,1.0,1.0,0.0,35.0,5.9920759201049805
13,1.0,1.0,1.0,0.0,38.0,5.319906234741211
14,1.0,1.0,1.0,0.0,58.0,3.2248899936676025
15,1.0,1.0,1.0,0.0,52.0,3.6852731704711914
16,1.0,1.0,1.0,0.0,44.0,4.461705684661865
17,1.0,1.0,1.0,0.0,48.0,4.302420139312744
18,1.0,1.0,1.0,0.0,65.0,2.141566753387451
19,1.0,1.0,1.0,0.0,54.0,3.7706480026245117
20,1.0,1.0,1.0,0.0,59.0,3.080796957015991
21,1.0,1.0,1.0,0.0,42.0,4.746782302856445
22,1.0,1.0,1.0,0.0,67.0,1.7923321723937988
23,1.0,1.0,1.0,0.0,42.0,4.652283668518066
24,1.0,1.0,1.0,0.0,39.0,5.323526382446289
25,1.0,1.0,1.0,0.0,57.0,3.220571517944336
26,1.0,1.0,1.0,0.0,49.0,4.1427154541015625
27,1.0,1.0,1.0,0.0,47.0,4.764949798583984
28,1.0,1.0,1.0,0.0,55.0,3.16770076751709
29,1.0,1.0,1.0,0.0,48.0,4.4082536697387695
30,1.0,1.0,1.0,0.0,46.0,4.768561363220215
31,1.0,1.0,1.0,0.0,44.0,4.952722072601318
32,1.0,1.0,1.0,0.0,62.0,2.8758320808410645
33,1.0,1.0,1.0,0.0,46.0,4.492079257965088
34,1.0,1.0,1.0,0.0,47.0,4.523113250732422
35,1.0,1.0,1.0,0.0,51.0,3.6057558059692383
36,1.0,1.0,1.0,0.0,40.0,5.153298377990723
37,1.0,1.0,1.0,0.0,57.0,3.386746406555176
38,1.0,1.0,1.0,0.0,40.0,5.115352630615234
39,1.0,1.0,1.0,0.0,35.0,5.7619805335998535
40,1.0,1.0,1.0,0.0,56.0,3.6997017860412598
41,1.0,1.0,1.0,0.0,64.0,2.000967025756836
42,1.0,1.0,1.0,0.0,51.0,3.834587574005127
43,1.0,1.0,1.0,0.0,46.0,4.119845390319824
44,1.0,1.0,1.0,0.0,35.0,5.732204914093018
45,1.0,1.0,1.0,0.0,44.0,4.907967567443848
46,1.0,1.0,1.0,0.0,76.0,0.6783924102783203
47,1.0,1.0,1.0,0.0,48.0,3.9184203147888184
48,1.0,1.0,1.0,0.0,64.0,2.6095595359802246
