run,completion,targets,survival,fragmentation,duration,reward
0,1.0,1.0,1.0,0.16923075914382935,39.0,2.194096088409424
1,1.0,1.0,1.0,0.0,38.0,5.521146297454834
2,1.0,1.0,1.0,0.0,62.0,0.21851539611816406
3,1.0,1.0,1.0,0.0,66.0,4.513012409210205
4,1.0,1.0,1.0,0.27000004053115845,40.0,2.3553881645202637
5,0.0,0.6666666865348816,0.0,0.0,66.0,-17.059972763061523
6,0.0,0.25,0.0,0.0,62.0,-20.228389739990234
7,1.0,1.0,1.0,0.0,49.0,0.8618898391723633
8,1.0,1.0,1.0,0.0,52.0,2.3997116088867188
9,1.0,1.0,1.0,0.0,39.0,0.032860755920410156
10,1.0,1.0,1.0,0.0,65.0,5.329108715057373
11,1.0,1.0,1.0,0.2195121943950653,41.0,4.946722030639648
12,1.0,1.0,0.5,0.0,67.0,-7.505888938903809
13,1.0,1.0,1.0,0.0,62.0,0.1038961410522461
14,1.0,1.0,1.0,0.0,52.0,3.8776936531066895
15,1.0,1.0,1.0,0.26153847575187683,39.0,2.354145050048828
16,1.0,1.0,1.0,0.285714328289032,42.0,4.5110273361206055
17,1.0,1.0,0.6000000238418579,0.23170731961727142,41.0,-1.0197296142578125
18,1.0,1.0,1.0,0.0,47.0,1.9651565551757812
19,1.0,1.0,1.0,0.0,69.0,4.751956462860107
20,1.0,1.0,0.75,0.0078125,64.0,2.125782012939453
21,1.0,1.0,1.0,0.0,52.0,3.328333854675293
22,1.0,1.0,0.6000000238418579,0.0,52.0,-1.567622184753418
23,0.0,0.75,0.0,0.14799998700618744,50.0,-19.17342758178711
24,1.0,1.0,1.0,0.35454556345939636,44.0,7.155930042266846
25,0.0,0.5,0.0,0.0,45.0,-16.898906707763672
26,1.0,1.0,1.0,0.0,31.0,5.465268611907959
27,1.0,1.0,1.0,0.3096774220466614,31.0,4.5643768310546875
28,1.0,1.0,1.0,0.0,68.0,2.6987695693969727
29,1.0,1.0,0.800000011920929,0.0,51.0,-3.0481176376342773
30,1.0,1.0,1.0,0.0,73.0,-1.930058479309082
31,1.0,1.0,0.75,0.0,79.0,0.4804706573486328
32,1.0,1.0,0.5,0.03650793805718422,63.0,-4.012044906616211
33,1.0,1.0,0.5,0.08124999701976776,64.0,-7.6176042556762695
34,1.0,1.0,1.0,0.0,60.0,-1.4243974685668945
35,1.0,1.0,1.0,0.0,26.0,6.28837251663208
36,1.0,1.0,0.8333333134651184,0.40384629368782043,52.0,1.562110424041748
37,1.0,1.0,1.0,0.0,72.0,3.485574245452881
38,0.0,0.6666666865348816,0.0,0.012195121496915817,41.0,-13.761446952819824
39,1.0,1.0,1.0,0.0,52.0,2.8738179206848145
40,1.0,1.0,1.0,0.33103448152542114,29.0,4.739418983459473
